Name String,Filename,Description,CLSID Description,CLSID,Product Name,File Description,File Version,Company Name,File Modified Time,File Created Time,Standalone
Security Settings,C:\WINDOWS\system32\wsecedit.dll,,WSecEdit RSOP Security Settings Class,{FE883157-CEBD-4570-B7A2-E4FE06ABE626},Microsoft® Windows® Operating System,Security Configuration UI Module,10.0.18362.719 (WinBuild.160101.0800),Microsoft Corporation,2020-03-12 9:18:57 AM,2020-03-12 9:18:57 AM,No
Security Templates,C:\WINDOWS\system32\wsecedit.dll,,WSecEdit Security Configuration Class,{5ADF5BF6-E452-11D1-945A-00C04FB984F9},Microsoft® Windows® Operating System,Security Configuration UI Module,10.0.18362.719 (WinBuild.160101.0800),Microsoft Corporation,2020-03-12 9:18:57 AM,2020-03-12 9:18:57 AM,Yes
Service Dependencies,C:\WINDOWS\system32\wbem\servdeps.dll,,SDSnapin Class,{BD95BA60-2E26-AAD1-AD99-00AA00B8E05A},Microsoft® Windows® Operating System,WMI Snapins,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:38 AM,2019-03-19 4:44:38 AM,No
Services,C:\WINDOWS\system32\filemgmt.dll,,SvcVwr 1.0 Object,{58221C66-EA27-11CF-ADCF-00AA00A80033},Microsoft® Windows® Operating System,Services and Shared Folders,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:58 AM,2019-03-19 4:44:58 AM,Yes
Services Extension,C:\WINDOWS\system32\filemgmt.dll,,SvcVwr 1.0 Object,{58221C6A-EA27-11CF-ADCF-00AA00A80033},Microsoft® Windows® Operating System,Services and Shared Folders,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:58 AM,2019-03-19 4:44:58 AM,No
Shared Folders,C:\WINDOWS\system32\filemgmt.dll,,FILEMGMT 1.0 Object,{58221C65-EA27-11CF-ADCF-00AA00A80033},Microsoft® Windows® Operating System,Services and Shared Folders,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:58 AM,2019-03-19 4:44:58 AM,Yes
Shared Folders Extension,C:\WINDOWS\system32\filemgmt.dll,,FILEMGMT 1.0 Object,{58221C69-EA27-11CF-ADCF-00AA00A80033},Microsoft® Windows® Operating System,Services and Shared Folders,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:58 AM,2019-03-19 4:44:58 AM,No
Software Installation (Computers),C:\WINDOWS\System32\appmgr.dll,,Software installation,{942A8E4F-A261-11D1-A760-00C04FB9603F},Microsoft® Windows® Operating System,Software Installation Snapin Extenstion,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:14 AM,2019-03-19 4:57:50 AM,No
Software Installation (Computers),C:\WINDOWS\System32\appmgr.dll,,Software installation,{7E45546F-6D52-4D10-B702-9C2E67232E62},Microsoft® Windows® Operating System,Software Installation Snapin Extenstion,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:14 AM,2019-03-19 4:57:50 AM,No
Software Installation (Users),C:\WINDOWS\System32\appmgr.dll,,Software installation,{1BC972D6-555C-4FF7-BE2C-C584021A0A6A},Microsoft® Windows® Operating System,Software Installation Snapin Extenstion,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:14 AM,2019-03-19 4:57:50 AM,No
Software Installation (Users),C:\WINDOWS\System32\appmgr.dll,,Software installation,{BACF5C8A-A3C7-11D1-A760-00C04FB9603F},Microsoft® Windows® Operating System,Software Installation Snapin Extenstion,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 6:23:14 AM,2019-03-19 4:57:50 AM,No
Software Restriction Policies,C:\WINDOWS\system32\certmgr.dll,,,{93F7AA8E-CF82-4CB7-9251-48BC637A43B8},Microsoft® Windows® Operating System,Certificates snap-in,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:45:47 AM,2019-03-19 4:45:47 AM,No
Task Scheduler,C:\WINDOWS\Microsoft.NET\assembly\GAC_MSIL\TaskScheduler\v4.0_10.0.0.0__31bf3856ad364e35\TaskScheduler.dll,Task Scheduler Extension,,FX:{c7b8fb07-bfe1-4c2e-9217-7a69a95bbac4},Microsoft (R) Windows (R) Operating System,,10.0.18362.1,Microsoft Corporation,2019-03-19 4:44:33 AM,2019-03-19 4:44:33 AM,No
Task Scheduler,C:\WINDOWS\Microsoft.NET\assembly\GAC_MSIL\TaskScheduler\v4.0_10.0.0.0__31bf3856ad364e35\TaskScheduler.dll,Task Scheduler,,FX:{c7b8fb06-bfe1-4c2e-9217-7a69a95bbac4},Microsoft (R) Windows (R) Operating System,,10.0.18362.1,Microsoft Corporation,2019-03-19 4:44:33 AM,2019-03-19 4:44:33 AM,Yes
TPM Management,C:\WINDOWS\Microsoft.NET\assembly\GAC_MSIL\Microsoft.Tpm\v4.0_10.0.0.0__31bf3856ad364e35\Microsoft.Tpm.dll,The Trusted Platform Module (TPM) Management snap-in allows you to configure and manage the TPM security hardware.,,FX:{7d3830aa-e69e-4e17-8bd1-1b87b97099da},Microsoft® Windows® Operating System,TPM Management,10.0.18362.1,Microsoft Corporation,2019-03-19 4:43:54 AM,2019-03-19 4:43:54 AM,Yes
Windows Defender Firewall with Advanced Security,C:\Windows\System32\AuthFWSnapIn.dll,Configure policies that provide enhanced network security for Windows computers.,,FX:{b05566ac-fe9c-4368-be01-7a4cbb6cba13},Microsoft (R) Windows (R) Operating System,Microsoft.WindowsFirewall.SnapIn,10.0.18362.1,Microsoft Corporation,2019-03-19 4:44:47 AM,2019-03-19 4:44:47 AM,No
Windows Defender Firewall with Advanced Security,C:\Windows\System32\AuthFWGP.dll,,Windows Defender Firewall with Advanced Security,{0E752416-F29E-4195-A9DD-7F0D4D5A9D71},Microsoft® Windows® Operating System,Windows Defender Firewall with Advanced Security Group Policy Editor Extension,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:48 AM,2019-03-19 4:44:48 AM,No
Windows Defender Firewall with Advanced Security,C:\Windows\System32\AuthFWSnapin.dll,Configure policies that provide enhanced network security for Windows computers.,,FX:{b05566ac-fe9c-4368-be01-7a4cbb6cba12},Microsoft (R) Windows (R) Operating System,Microsoft.WindowsFirewall.SnapIn,10.0.18362.1,Microsoft Corporation,2019-03-19 4:44:47 AM,2019-03-19 4:44:47 AM,No
Windows Defender Firewall with Advanced Security,C:\Windows\System32\AuthFWSnapin.dll,Configure policies that provide enhanced network security for Windows computers.,,FX:{b05566ac-fe9c-4368-be02-7a4cbb7cbe11},Microsoft (R) Windows (R) Operating System,Microsoft.WindowsFirewall.SnapIn,10.0.18362.1,Microsoft Corporation,2019-03-19 4:44:47 AM,2019-03-19 4:44:47 AM,Yes
Wired Network Policy Management,C:\Windows\System32\dot3gpui.dll,,Create and edit Wired policies,{06993B16-A5C7-47eb-B61C-B1CB7EE600AC},Microsoft® Windows® Operating System,802.3 Network Policy Management Snap-in,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:43:55 AM,2019-03-19 4:43:55 AM,No
Wireless Network Policy Management,C:\Windows\System32\wlangpui.dll,,Create and edit Wireless policies,{2DA6AA7F-8C88-4194-A558-0D36E7FD3E64},Microsoft® Windows® Operating System,Wireless Network Policy Management Snap-in,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:43:55 AM,2019-03-19 4:43:55 AM,No
WMI Control,C:\WINDOWS\system32\wbem\wbemcntl.dll,,WMISnapin Class,{5C659257-E236-11D2-8899-00104B2AFB46},Microsoft® Windows® Operating System,WMI Control,10.0.18362.1 (WinBuild.160101.0800),Microsoft Corporation,2019-03-19 4:44:38 AM,2019-03-19 4:44:38 AM,Yes
